Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR6913242_1	(1, 36.73042537030886)	(2, 36.6974016632638)	(3, 36.75741837177918)	(4, 36.69712215566173)	(5, 36.76203450563932)	(6, 36.74816907035462)	(7, 36.74018026304685)	(8, 36.77366852566321)	(9, 36.75965985241069)	(12, 36.758008202502864)	(17, 36.744430636820525)	(22, 36.72965916331994)	(27, 36.709282052592336)	(32, 36.651969057501915)	(37, 36.64718360173073)	(42, 36.658787457678685)	(47, 36.65319494634698)	(52, 36.65356150086755)	(57, 36.64617234178084)	(62, 36.6331768682784)	(67, 36.62145759492559)	(72, 36.62089681331891)	(77, 36.6090785613077)	(82, 36.59502317406915)	(87, 36.57357116967778)	(92, 36.5686073032568)	(97, 36.552141768364606)	(102, 36.54911369049919)	(107, 36.52771144909987)	(112, 36.51411601699756)	(117, 36.48660347447936)	(122, 36.476935775114896)	(127, 36.47917990968584)	(132, 36.44119111717548)	(137, 36.44239120780064)	(142, 36.414433157021804)	(147, 36.38365945729281)	(150, 36.3019024274029)
ERR6913242_2	(1, 36.58340669440064)	(2, 36.72925701304705)	(3, 36.75508243151483)	(4, 36.723752029527155)	(5, 36.71625410260639)	(6, 36.7057303703979)	(7, 36.69272591143867)	(8, 36.72585259496871)	(9, 36.71325771917151)	(12, 36.71812393878086)	(17, 36.70868293075722)	(22, 36.69032199120906)	(27, 36.677751582005286)	(32, 36.61857107351824)	(37, 36.63124360272227)	(42, 36.63562637567217)	(47, 36.624812321757766)	(52, 36.620395201683316)	(57, 36.60453018809228)	(62, 36.60015138501441)	(67, 36.5723503930944)	(72, 36.564775790116606)	(77, 36.551796290455414)	(82, 36.553798156263746)	(87, 36.521881145655186)	(92, 36.51802657413561)	(97, 36.4990229109042)	(102, 36.48278941214666)	(107, 36.45898455718343)	(112, 36.44729419577661)	(117, 36.42444998355423)	(122, 36.41272267291267)	(127, 36.355538803674094)	(132, 36.32456099582496)	(137, 36.30112800885466)	(142, 36.29374707003079)	(147, 36.21557980491074)	(150, 36.07774982075738)
ERR6913281_1	(1, 36.69994532531438)	(2, 36.65693781260758)	(3, 36.73182836198692)	(4, 36.68057671668388)	(5, 36.7421760524877)	(6, 36.73011927181419)	(7, 36.712257254520786)	(8, 36.74417107101634)	(9, 36.733420812830325)	(12, 36.74187019824636)	(17, 36.73600372597858)	(22, 36.72170406820161)	(27, 36.707389992507544)	(32, 36.69587752870421)	(37, 36.6885412843237)	(42, 36.68579455064741)	(47, 36.679240160910965)	(52, 36.6664302018644)	(57, 36.66013882205557)	(62, 36.65003827664374)	(67, 36.63741787816868)	(72, 36.63902768363512)	(77, 36.62952383155123)	(82, 36.62049422610416)	(87, 36.59945922152898)	(92, 36.59282212692403)	(97, 36.58088897043151)	(102, 36.58029742727172)	(107, 36.55512993177747)	(112, 36.548103236403)	(117, 36.52425798175467)	(122, 36.5210442691173)	(127, 36.522798218329505)	(132, 36.48810896746688)	(137, 36.49057055667301)	(142, 36.460114539148556)	(147, 36.43916406476321)	(150, 36.34897206715021)
ERR6913281_2	(1, 36.647797825162506)	(2, 36.69699127230018)	(3, 36.722219387238525)	(4, 36.70151023631614)	(5, 36.69931352894721)	(6, 36.67586416378106)	(7, 36.64667679160845)	(8, 36.69025130105502)	(9, 36.67777413279874)	(12, 36.68891432274264)	(17, 36.69167575886439)	(22, 36.67379851365855)	(27, 36.662300143774175)	(32, 36.64203568029484)	(37, 36.64456532041394)	(42, 36.62900165958878)	(47, 36.61695117709103)	(52, 36.60902502382519)	(57, 36.595041143404174)	(62, 36.59102237787493)	(67, 36.568570852879205)	(72, 36.56101936647612)	(77, 36.55404195412617)	(82, 36.5610400883548)	(87, 36.52460065773977)	(92, 36.52425645345724)	(97, 36.5049244040262)	(102, 36.49682458002975)	(107, 36.474116916033594)	(112, 36.46728051939616)	(117, 36.45155563868683)	(122, 36.44750064643716)	(127, 36.39900267392882)	(132, 36.37884740479642)	(137, 36.369433676940176)	(142, 36.360841825220426)	(147, 36.3059141768113)	(150, 36.182595519895386)
ERR6913283_1	(1, 36.6892528405005)	(2, 36.65863655975838)	(3, 36.716009875832974)	(4, 36.66286135481087)	(5, 36.731344982980964)	(6, 36.71786758713265)	(7, 36.72136727551656)	(8, 36.73679227192099)	(9, 36.73533606596673)	(12, 36.7316098566566)	(17, 36.71997219425667)	(22, 36.70687832590248)	(27, 36.68495972961311)	(32, 36.63429335059207)	(37, 36.64329771041596)	(42, 36.657701460914474)	(47, 36.64668920934728)	(52, 36.63917069511786)	(57, 36.63379325927638)	(62, 36.61627901159822)	(67, 36.6019701096527)	(72, 36.59330673789293)	(77, 36.58223159450045)	(82, 36.56837947702925)	(87, 36.54160485071507)	(92, 36.5347717023415)	(97, 36.51774569118151)	(102, 36.51491090248284)	(107, 36.4885351551063)	(112, 36.47089164360214)	(117, 36.43403622689195)	(122, 36.425481089315575)	(127, 36.42821905188191)	(132, 36.39072821297053)	(137, 36.38860994340245)	(142, 36.34730212434156)	(147, 36.32757325296387)	(150, 36.238785726531816)
ERR6913283_2	(1, 36.595396471547055)	(2, 36.71676494558704)	(3, 36.7169567093341)	(4, 36.697432762836186)	(5, 36.692890359077616)	(6, 36.68538760247375)	(7, 36.67090943957045)	(8, 36.688803394218326)	(9, 36.682990555635456)	(12, 36.68377079438132)	(17, 36.67595522316506)	(22, 36.65967807660961)	(27, 36.63524737523371)	(32, 36.58181720120811)	(37, 36.60338068870408)	(42, 36.603346742414395)	(47, 36.587221836668945)	(52, 36.583443188886974)	(57, 36.56131360928594)	(62, 36.55971268411516)	(67, 36.52101483923559)	(72, 36.517640013607114)	(77, 36.50263450736347)	(82, 36.50647768974785)	(87, 36.47004111529617)	(92, 36.464330846968835)	(97, 36.441782018053644)	(102, 36.42975197615107)	(107, 36.399563610675884)	(112, 36.381626298499064)	(117, 36.360703067441385)	(122, 36.34709173780054)	(127, 36.291230776894906)	(132, 36.242127138280615)	(137, 36.23407454419758)	(142, 36.22088246764645)	(147, 36.14072974650311)	(150, 36.00332142626812)
ERR6913294_1	(1, 36.65613444171074)	(2, 36.59383517244427)	(3, 36.68366309648334)	(4, 36.69746195323895)	(5, 36.695533833257215)	(6, 36.695248390471)	(7, 36.686436495425546)	(8, 36.68522934867481)	(9, 36.68806904400607)	(12, 36.6820222608542)	(17, 36.67068465754232)	(22, 36.65669188384872)	(27, 36.637166492331716)	(32, 36.61188639008795)	(37, 36.59991650176439)	(42, 36.60056130542527)	(47, 36.58986623113644)	(52, 36.58350733516251)	(57, 36.56488806107061)	(62, 36.556686093367546)	(67, 36.54956920644473)	(72, 36.546405896174825)	(77, 36.52937261922786)	(82, 36.522697423013256)	(87, 36.5100711055411)	(92, 36.48868529298107)	(97, 36.47865860902185)	(102, 36.47557788349086)	(107, 36.456093193475)	(112, 36.44097239975342)	(117, 36.45640287101716)	(122, 36.42973816953294)	(127, 36.43589244326789)	(132, 36.42260087522768)	(137, 36.41731986028849)	(142, 36.41164334471206)	(147, 36.37707696464939)	(150, 36.263709693215546)
ERR6913294_2	(1, 36.59151664039366)	(2, 36.63391226041222)	(3, 36.637294297037286)	(4, 36.60032301074001)	(5, 36.634845013774914)	(6, 36.612072204133945)	(7, 36.5841264345802)	(8, 36.60208907288183)	(9, 36.594713599599274)	(12, 36.61090575599982)	(17, 36.602894758165505)	(22, 36.59025185261576)	(27, 36.55993193570723)	(32, 36.54617138353198)	(37, 36.52650525958314)	(42, 36.528544451214394)	(47, 36.51179588435178)	(52, 36.50418883977177)	(57, 36.4913272825025)	(62, 36.49574484890179)	(67, 36.47769121602414)	(72, 36.45454427386468)	(77, 36.44588297740694)	(82, 36.422830518567196)	(87, 36.415852228655595)	(92, 36.39441096148604)	(97, 36.382974170493405)	(102, 36.361494390563095)	(107, 36.34427804767384)	(112, 36.326233267835505)	(117, 36.30381877844343)	(122, 36.25220284107742)	(127, 36.201094399981216)	(132, 36.152732250069604)	(137, 36.13986364702779)	(142, 36.0956570363089)	(147, 36.06210118715078)	(150, 36.00821767737302)
ERR6913309_1	(1, 36.56211711632643)	(2, 36.51655286208289)	(3, 36.621566114904596)	(4, 36.646667485825624)	(5, 36.64718531130966)	(6, 36.64915129280837)	(7, 36.62885516684513)	(8, 36.65944636556724)	(9, 36.65283750811845)	(12, 36.654101353367615)	(17, 36.64689655777704)	(22, 36.63092559111095)	(27, 36.615985887061385)	(32, 36.59946111042848)	(37, 36.58962991147495)	(42, 36.58450146966275)	(47, 36.58338868111099)	(52, 36.57422150837529)	(57, 36.558361427691054)	(62, 36.55583167119064)	(67, 36.54864905384239)	(72, 36.545287919883044)	(77, 36.53022582677701)	(82, 36.52486225732315)	(87, 36.509217565651625)	(92, 36.484155548340325)	(97, 36.47220030001706)	(102, 36.47106087497812)	(107, 36.461177555106495)	(112, 36.435584563978296)	(117, 36.46191486788474)	(122, 36.4252341544486)	(127, 36.420800369439945)	(132, 36.42069078940959)	(137, 36.41592906516157)	(142, 36.41368618647333)	(147, 36.36488904845387)	(150, 36.261442410567696)
ERR6913309_2	(1, 36.3590900314206)	(2, 36.486966595867926)	(3, 36.47522336709439)	(4, 36.4683863153645)	(5, 36.49783215432955)	(6, 36.44963050079868)	(7, 36.40979304534045)	(8, 36.45601555231793)	(9, 36.43683406765083)	(12, 36.46515122259475)	(17, 36.45410486404887)	(22, 36.43896856184943)	(27, 36.41734452070425)	(32, 36.41071284382735)	(37, 36.38555008992878)	(42, 36.37615664998028)	(47, 36.355160994680325)	(52, 36.3507043514406)	(57, 36.34207368078253)	(62, 36.34740079885459)	(67, 36.324880891446035)	(72, 36.3119069737602)	(77, 36.3093116229061)	(82, 36.2848181470938)	(87, 36.27092713467171)	(92, 36.254576380999346)	(97, 36.24114553432434)	(102, 36.22666355718179)	(107, 36.2156483830082)	(112, 36.19828422897924)	(117, 36.178282271213476)	(122, 36.12035963226369)	(127, 36.068808900121724)	(132, 36.02345455481464)	(137, 36.02546529476557)	(142, 35.99693633991451)	(147, 35.95569573384894)	(150, 35.90669625116564)
ERR6913323_1	(1, 36.656438952966994)	(2, 36.594156337536724)	(3, 36.63877557009949)	(4, 36.68903367606153)	(5, 36.68805147118768)	(6, 36.68146039386024)	(7, 36.67005090377849)	(8, 36.700929703218904)	(9, 36.70525766573077)	(12, 36.68179640445187)	(17, 36.690942649279165)	(22, 36.65164884545273)	(27, 36.62948727731635)	(32, 36.329849310467395)	(37, 36.3707727222551)	(42, 36.59927937529009)	(47, 36.59356611101738)	(52, 36.58842968680725)	(57, 36.570062068496114)	(62, 36.568723531944634)	(67, 36.55719946890455)	(72, 36.55501237867145)	(77, 36.53598052460187)	(82, 36.529533792752105)	(87, 36.51638575522834)	(92, 36.49595666193429)	(97, 36.48815390827344)	(102, 36.480240931171025)	(107, 36.46327469152743)	(112, 36.44273638513289)	(117, 36.456896339140485)	(122, 36.42514437455619)	(127, 36.42704694778521)	(132, 36.40858925570906)	(137, 36.41116386884029)	(142, 36.39763059224041)	(147, 36.35263483901961)	(150, 36.23734039857251)
ERR6913323_2	(1, 36.473418183834056)	(2, 36.59048122169068)	(3, 36.580191549516236)	(4, 36.47891618322751)	(5, 36.4929970618639)	(6, 36.53457837257913)	(7, 36.48869649151984)	(8, 36.52938690458721)	(9, 36.49851462709151)	(12, 36.55553090260454)	(17, 36.558499430960325)	(22, 36.51732652442305)	(27, 36.48210476199793)	(32, 36.2014250449199)	(37, 36.21169405356641)	(42, 36.41483977652372)	(47, 36.39664415959366)	(52, 36.387043494370886)	(57, 36.378136460779515)	(62, 36.37916072917771)	(67, 36.35738644234367)	(72, 36.33514874187481)	(77, 36.33350474882083)	(82, 36.31327872449392)	(87, 36.30164770286046)	(92, 36.28056850601773)	(97, 36.2692260234654)	(102, 36.24107516760391)	(107, 36.22152607147448)	(112, 36.205409735697394)	(117, 36.17373087777962)	(122, 36.108305882993484)	(127, 36.054867795215)	(132, 35.99701912218386)	(137, 35.977970551034815)	(142, 35.933747518487)	(147, 35.892457567792555)	(150, 35.84892439202433)
ERR6913338_1	(1, 36.50544920982495)	(2, 36.497625380691886)	(3, 36.612683478302216)	(4, 36.638843911703255)	(5, 36.64646435297567)	(6, 36.63490030032727)	(7, 36.62910110489795)	(8, 36.6495627160996)	(9, 36.645822492584266)	(12, 36.6467625671246)	(17, 36.64156296967408)	(22, 36.622448208734056)	(27, 36.60922271499022)	(32, 36.59091120402972)	(37, 36.58258838087353)	(42, 36.585238365647015)	(47, 36.5762305364572)	(52, 36.57468171508303)	(57, 36.55031137579438)	(62, 36.553708748659396)	(67, 36.5460367023658)	(72, 36.54363200401613)	(77, 36.526767995783935)	(82, 36.52006560459239)	(87, 36.50940355368289)	(92, 36.48682042477141)	(97, 36.476933149787875)	(102, 36.47260434038612)	(107, 36.45665487286096)	(112, 36.43436146902225)	(117, 36.456632555569925)	(122, 36.423297179435046)	(127, 36.428620240534826)	(132, 36.41784683003556)	(137, 36.41968657212944)	(142, 36.41037546780821)	(147, 36.37356538327698)	(150, 36.269651284972966)
ERR6913338_2	(1, 36.40788510963134)	(2, 36.49614751695119)	(3, 36.50457886826542)	(4, 36.46482578641105)	(5, 36.49907418902392)	(6, 36.44161579768983)	(7, 36.436428086542854)	(8, 36.47304714636266)	(9, 36.46840752587912)	(12, 36.4840086954914)	(17, 36.480000633936186)	(22, 36.465470288203235)	(27, 36.438368987841635)	(32, 36.43233180220135)	(37, 36.41152753056803)	(42, 36.4067579111609)	(47, 36.39574845766678)	(52, 36.386047713543135)	(57, 36.377343306377284)	(62, 36.38498749645319)	(67, 36.36457287150435)	(72, 36.3458238783666)	(77, 36.34512324155119)	(82, 36.329976239947975)	(87, 36.31837942581347)	(92, 36.30069050443168)	(97, 36.293898185195985)	(102, 36.274253206069005)	(107, 36.26647550266353)	(112, 36.25023683231558)	(117, 36.232003660499444)	(122, 36.18748703287325)	(127, 36.141111864542474)	(132, 36.09183734353975)	(137, 36.08880087197449)	(142, 36.06005891397647)	(147, 36.029441553524535)	(150, 36.013441627313355)
