Sample	root	Unclassified
kraken2.1.ERR6913309	176735	51141
kraken2.10.ERR6913281	1109266	125309
kraken2.11.ERR6913187	95774	30450
kraken2.12.ERR6913283	114838	52034
kraken2.2.ERR6913338	699551	57623
kraken2.3.ERR6913119	27187	337428
kraken2.4.ERR6913215	15570	26902
kraken2.5.ERR6913294	553116	532916
kraken2.6.ERR6913323	859990	673295
kraken2.7.ERR6913146	147086	64378
kraken2.8.ERR6913242	718506	573051
kraken2.9.ERR6913185	70194	17193
