Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR6913242_1	(1, 0.007820018783530266)	(2, 0.06263757619679193)	(3, 0.0)	(4, 0.0009291111425976554)	(5, 0.002942185284892575)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0014710926424462876)	(12, 0.0004181000141689449)	(17, 0.0)	(22, 0.00023227778564941385)	(27, 0.00030970371419921847)	(32, 0.11345995569688368)	(37, 0.08174604188125846)	(42, 1.5755817599311283e-05)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.000571978043887385)	(67, 0.001681409495908488)	(72, 0.0013186844736921613)	(77, 0.0)	(82, 0.0006384926878781991)	(87, 0.0011694345943204815)	(92, 0.0013210718296110912)	(97, 0.0006539077720785228)	(102, 0.00048775233562238214)	(107, 0.0)	(112, 0.00016384970020186284)	(117, 0.004325628202078082)	(122, 0.0035630073660343755)	(127, 0.00015110981089513825)	(132, 0.002711312056807939)	(137, 0.0)	(142, 0.002369851948520389)	(147, 0.003358102698839977)	(150, 0.0)
ERR6913242_2	(1, 0.053423890699365185)	(2, 0.0018582222851953108)	(3, 0.00905883364032714)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.006116648355434564)	(9, 0.0)	(12, 0.0012543000425068347)	(17, 4.645555712988277e-05)	(22, 0.0002477629713593748)	(27, 0.00017033704280957016)	(32, 0.114125818682412)	(37, 0.08197926348234953)	(42, 0.0)	(47, 4.7734474123618927e-05)	(52, 0.0)	(57, 0.0)	(62, 0.015247230658405818)	(67, 0.006329980916096598)	(72, 0.0023368967113353346)	(77, 0.0004913728482952412)	(82, 0.0014322852629063138)	(87, 0.0002834961309865524)	(92, 0.00012843409844583734)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.00010176604799693886)	(122, 2.761613135557647e-05)	(127, 9.064975021461328e-05)	(132, 6.611537463450595e-05)	(137, 0.0)	(142, 0.00012049184772240285)	(147, 4.480061932376153e-05)	(150, 0.0)
ERR6913281_1	(1, 0.007289958082741024)	(2, 0.06285563858007817)	(3, 0.0)	(4, 0.0006479962740214244)	(5, 0.0026729846303383755)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0019439888220642732)	(12, 0.0004697972986655326)	(17, 0.0)	(22, 0.0001943988822064273)	(27, 0.0004049976712633902)	(32, 0.010432740011744933)	(37, 0.008769880760421608)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0007674311369345339)	(67, 0.0016193910795106298)	(72, 0.001361254466513714)	(77, 0.0)	(82, 0.0007118131685767263)	(87, 0.00086802628517134)	(92, 0.0013506545778579767)	(97, 0.0005494111171279258)	(102, 0.0005084270913797765)	(107, 0.0)	(112, 0.00014884845255288122)	(117, 0.004083274809619731)	(122, 0.0033692362102911806)	(127, 6.352589018829921e-05)	(132, 0.0023158235547312608)	(137, 0.0)	(142, 0.0018942920245570037)	(147, 0.002635133084867788)	(150, 0.0)
ERR6913281_2	(1, 0.05151570378470324)	(2, 0.001700990219306239)	(3, 0.009314946439057975)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.005507968329182107)	(9, 0.0)	(12, 0.0013121924548933842)	(17, 1.619990685053561e-05)	(22, 0.00017819897535589172)	(27, 0.00027539841645910537)	(32, 0.011064536378915822)	(37, 0.009029237058647407)	(42, 0.0)	(47, 4.879139645042591e-05)	(52, 0.0)	(57, 0.0)	(62, 0.01601829841583764)	(67, 0.006624899808614006)	(72, 0.0023945503969213296)	(77, 0.0006091765365613763)	(82, 0.0015395424016464163)	(87, 0.0002670929915967537)	(92, 5.0651222771168916e-05)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0001548212298611447)	(122, 6.052693539415443e-05)	(127, 6.352672421058517e-05)	(132, 0.00011133687755726891)	(137, 0.0)	(142, 7.477779777391482e-05)	(147, 2.6621629967862365e-05)	(150, 0.0)
ERR6913283_1	(1, 0.010187449062754686)	(2, 0.05992617095738051)	(3, 0.0)	(4, 0.0005992617095738051)	(5, 0.0029963085478690254)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0017977851287214153)	(12, 0.00047940936765904403)	(17, 0.0)	(22, 0.00011985234191476101)	(27, 0.00035955702574428305)	(32, 0.10894577880051777)	(37, 0.06446313394260617)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.000973686132275261)	(67, 0.0020746229677847663)	(72, 0.0017161552728257843)	(77, 0.0)	(82, 0.0007471235742391791)	(87, 0.001515817556198936)	(92, 0.002059506876822181)	(97, 0.0009249117039648322)	(102, 0.0005456482505835025)	(107, 0.0)	(112, 0.00014871812412906949)	(117, 0.0054935654652500596)	(122, 0.004150231748940861)	(127, 0.0)	(132, 0.003010665281760637)	(137, 0.0)	(142, 0.0019360709376391551)	(147, 0.004892687063735403)	(150, 0.0)
ERR6913283_2	(1, 0.056929862409511485)	(2, 0.0023970468382952205)	(3, 0.009588187353180882)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.008389663934033271)	(9, 0.0)	(12, 0.002277194496380459)	(17, 0.0)	(22, 0.00011985234191476101)	(27, 0.00011985234191476101)	(32, 0.1094251881681768)	(37, 0.06494404589379242)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.019108706632668587)	(67, 0.0067120646310805205)	(72, 0.002574270776510392)	(77, 0.0003700633548463497)	(82, 0.0017433209017949979)	(87, 0.00012632307632061301)	(92, 0.0001287261390010594)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(150, 0.0)
ERR6913294_1	(1, 0.09143376990733239)	(2, 0.16353109300646756)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.00018415663626854457)	(8, 9.207831813427228e-05)	(9, 0.000644548226939906)	(12, 0.0)	(17, 0.00023940362714910794)	(22, 0.0)	(27, 0.0)	(32, 0.014529958601588167)	(37, 0.0190673007420927)	(42, 0.00011152497202117263)	(47, 0.00024447804032420796)	(52, 0.0006139585785170521)	(57, 1.9731824769556953e-05)	(62, 0.0)	(67, 0.00010787686675524076)	(72, 0.0004811297476337008)	(77, 0.0001468710230080801)	(82, 0.00010507126458520491)	(87, 5.6465289798218465e-05)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0006051120732393075)	(122, 0.00013905756055956764)	(127, 4.975337253235711e-05)	(132, 0.00021381753025785324)	(137, 0.00017245026534347494)	(142, 6.182380216383307e-05)	(147, 0.00020105796702247225)	(150, 0.0)
ERR6913294_2	(1, 0.0136275910838723)	(2, 0.002854427862162441)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.00036831327253708914)	(9, 0.0)	(12, 3.6831327253708914e-05)	(17, 0.00023940362714910794)	(22, 0.0)	(27, 0.0)	(32, 0.01561648275557258)	(37, 0.018808875795893243)	(42, 0.0001858748842696502)	(47, 1.8805978345292055e-05)	(52, 0.0002686067750303142)	(57, 0.0)	(62, 4.106731487316462e-05)	(67, 2.15757783408097e-05)	(72, 0.0)	(77, 2.4479408655820982e-05)	(82, 0.001733790633747762)	(87, 0.0004235256648082361)	(92, 0.0012138050908199313)	(97, 3.260177131943933e-05)	(102, 0.0)	(107, 0.0)	(112, 0.0001209055340881063)	(117, 0.00021617910352255204)	(122, 0.00018547662391739614)	(127, 4.977553721492928e-05)	(132, 0.077176794761605)	(137, 0.0018413016621775349)	(142, 0.00024765777657801346)	(147, 0.00033587365776489516)	(150, 0.0)
ERR6913309_1	(1, 0.09259421790798504)	(2, 0.16324667801786938)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0013165054678860434)	(8, 0.0)	(9, 0.0008776703119240289)	(12, 0.0)	(17, 8.776703119240288e-05)	(22, 0.0)	(27, 0.0)	(32, 0.002984079060541698)	(37, 0.0035119357526473415)	(42, 8.78801034173057e-05)	(47, 0.00017609214549789613)	(52, 0.0008834242229621392)	(57, 8.884884767487009e-05)	(62, 0.0)	(67, 9.057314687341498e-05)	(72, 0.0005512329703464224)	(77, 0.00018693161107009)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.00046618144947467176)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(150, 0.0)
ERR6913309_2	(1, 0.020186417174252666)	(2, 0.004388351559620144)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.00043883515596201446)	(9, 0.0)	(12, 0.0)	(17, 0.00017553406238480577)	(22, 0.0)	(27, 0.0)	(32, 0.004388351559620144)	(37, 0.0035119604202060646)	(42, 0.00017576097912926252)	(47, 8.804661540005741e-05)	(52, 0.00035337062571336696)	(57, 0.0)	(62, 8.959313071548178e-05)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0017163846074628403)	(87, 0.0003901479831300012)	(92, 0.0010998306260835832)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.00011263354114221675)	(117, 0.0)	(122, 0.00024164716372682756)	(127, 0.0)	(132, 0.07133152173913043)	(137, 0.001361913543004463)	(142, 0.0001420989434943551)	(147, 0.00014928826818144496)	(150, 0.0)
ERR6913323_1	(1, 0.08667664524207828)	(2, 0.16043983995147673)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0005217555770779731)	(8, 0.00013043889426949328)	(9, 0.0015652667312339194)	(12, 0.0)	(17, 0.00019565834140423992)	(22, 0.0)	(27, 0.0)	(32, 0.798259945150445)	(37, 0.7085320815293253)	(42, 0.00015860201836928576)	(47, 0.0002858838761136517)	(52, 0.000794076191610585)	(57, 3.643277915432962e-05)	(62, 0.0)	(67, 0.0002425346889903057)	(72, 0.0005506200171261813)	(77, 0.00019417988513871436)	(82, 0.0002397161760475597)	(87, 6.20809278698254e-05)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 2.5547306330341486e-05)	(112, 0.0)	(117, 0.000292413820529848)	(122, 0.00015674993432177752)	(127, 0.00013485576501652658)	(132, 0.00018132471484875345)	(137, 7.828186952760806e-05)	(142, 0.0)	(147, 9.20380632614424e-05)	(150, 0.0)
ERR6913323_2	(1, 0.011609061589984902)	(2, 0.0020218028611771457)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.00039131668280847985)	(9, 0.0)	(12, 1.3043889426949328e-05)	(17, 0.00016957056255034126)	(22, 0.0)	(27, 1.3043889426949328e-05)	(32, 0.7990556224054889)	(37, 0.7083680944988039)	(42, 0.00026434363827075553)	(47, 1.78682882019088e-05)	(52, 0.0001985254253316999)	(57, 0.0)	(62, 7.364232548471838e-05)	(67, 0.0)	(72, 0.0)	(77, 1.9419051876443562e-05)	(82, 0.0009589284933015848)	(87, 0.0003104321339477406)	(92, 0.0006258756864129726)	(97, 4.537261694508439e-05)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 2.924629091227078e-05)	(122, 0.00012542503408425302)	(127, 0.0)	(132, 0.07603197260527399)	(137, 0.0009397064748516927)	(142, 0.00012670304733499146)	(147, 9.208611893843122e-05)	(150, 0.0)
ERR6913338_1	(1, 0.09495835831658245)	(2, 0.1657478994260236)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0006603501969164288)	(8, 0.0002641400787665715)	(9, 0.0007924202362997146)	(12, 2.641400787665715e-05)	(17, 0.0002113120630132572)	(22, 0.0)	(27, 0.0)	(32, 0.003407407016088772)	(37, 0.003831400413844092)	(42, 0.00010584124606898996)	(47, 0.00021206934349428247)	(52, 0.0007976691045207099)	(57, 2.671443920782071e-05)	(62, 0.0)	(67, 8.144715301476638e-05)	(72, 0.00046706286418883407)	(77, 5.576975790069247e-05)	(82, 0.00017025150119261175)	(87, 2.896571820353457e-05)	(92, 2.9645976640749167e-05)	(97, 0.0)	(102, 0.0)	(107, 3.234068976223125e-05)	(112, 0.0)	(117, 0.0005550475328830973)	(122, 0.00014404505153031662)	(127, 0.0001872058995318355)	(132, 0.00027305362500141406)	(137, 0.0)	(142, 4.248248977977502e-05)	(147, 8.9351251833376e-05)	(150, 0.0)
ERR6913338_2	(1, 0.014791844410928004)	(2, 0.0029055408664322865)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.00013207003938328575)	(9, 0.0)	(12, 0.0)	(17, 0.0002641400787665715)	(22, 0.0)	(27, 0.0)	(32, 0.004490381339031715)	(37, 0.0036200128048044177)	(42, 0.0001323018026385213)	(47, 0.0)	(52, 0.00018612437468857403)	(57, 0.0)	(62, 5.380541486934162e-05)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0015039454448046346)	(87, 0.0004345071689337802)	(92, 0.001037663324501336)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.00018008445961155783)	(127, 3.7448639191349065e-05)	(132, 0.07912695037398018)	(137, 0.0013437565406331617)	(142, 4.25123434589233e-05)	(147, 0.00013413384411501173)	(150, 0.0)
