Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
ERR6913281_1	(37, 2490.0)	(42, 1716.0)	(47, 1773.0)	(52, 1902.0)	(57, 1119.0)	(62, 1880.0)	(67, 2692.0)	(72, 4135.0)	(77, 5544.0)	(82, 8736.0)	(87, 11686.0)	(92, 17489.0)	(97, 21658.0)	(102, 29290.0)	(107, 32556.0)	(112, 39372.0)	(117, 41968.0)	(122, 44809.0)	(127, 46961.0)	(132, 47820.0)	(137, 48574.0)	(142, 45781.0)	(147, 113031.0)	(151, 661593.0)
ERR6913281_2	(37, 2487.0)	(42, 1721.0)	(47, 1773.0)	(52, 1912.0)	(57, 1125.0)	(62, 1880.0)	(67, 2700.0)	(72, 4137.0)	(77, 5546.0)	(82, 8740.0)	(87, 11689.0)	(92, 17494.0)	(97, 21660.0)	(102, 29291.0)	(107, 32561.0)	(112, 39365.0)	(117, 41952.0)	(122, 44805.0)	(127, 46942.0)	(132, 47797.0)	(137, 48629.0)	(142, 45867.0)	(147, 113877.0)	(151, 660625.0)
ERR6913283_1	(37, 1135.0)	(42, 437.0)	(47, 278.0)	(52, 347.0)	(57, 218.0)	(62, 369.0)	(67, 590.0)	(72, 921.0)	(77, 1241.0)	(82, 2032.0)	(87, 2602.0)	(92, 3630.0)	(97, 4384.0)	(102, 5437.0)	(107, 6122.0)	(112, 6814.0)	(117, 7024.0)	(122, 7221.0)	(127, 7043.0)	(132, 6963.0)	(137, 6587.0)	(142, 6426.0)	(147, 14885.0)	(151, 74166.0)
ERR6913283_2	(37, 1134.0)	(42, 437.0)	(47, 279.0)	(52, 348.0)	(57, 218.0)	(62, 369.0)	(67, 591.0)	(72, 922.0)	(77, 1241.0)	(82, 2035.0)	(87, 2602.0)	(92, 3635.0)	(97, 4382.0)	(102, 5438.0)	(107, 6123.0)	(112, 6823.0)	(117, 7025.0)	(122, 7223.0)	(127, 7045.0)	(132, 6961.0)	(137, 6590.0)	(142, 6423.0)	(147, 15156.0)	(151, 73872.0)
ERR6913294_1	(37, 6687.0)	(42, 9555.0)	(47, 17781.0)	(52, 25200.0)	(57, 35702.0)	(62, 44119.0)	(67, 51583.0)	(72, 56066.0)	(77, 56009.0)	(82, 54311.0)	(87, 50886.0)	(92, 47081.0)	(97, 43408.0)	(102, 40135.0)	(107, 37144.0)	(112, 34552.0)	(117, 32187.0)	(122, 30170.0)	(127, 28391.0)	(132, 26983.0)	(137, 25128.0)	(142, 23210.0)	(147, 54552.0)	(151, 255192.0)
ERR6913294_2	(37, 6687.0)	(42, 9554.0)	(47, 17779.0)	(52, 25206.0)	(57, 35700.0)	(62, 44136.0)	(67, 51590.0)	(72, 56064.0)	(77, 56025.0)	(82, 54332.0)	(87, 50894.0)	(92, 47095.0)	(97, 43422.0)	(102, 40149.0)	(107, 37150.0)	(112, 34575.0)	(117, 32199.0)	(122, 30183.0)	(127, 28420.0)	(132, 27054.0)	(137, 25297.0)	(142, 23411.0)	(147, 54774.0)	(151, 254336.0)
ERR6913309_1	(37, 190.0)	(42, 313.0)	(47, 604.0)	(52, 1084.0)	(57, 1583.0)	(62, 2217.0)	(67, 2829.0)	(72, 3501.0)	(77, 4033.0)	(82, 4494.0)	(87, 4943.0)	(92, 5166.0)	(97, 5507.0)	(102, 5654.0)	(107, 5865.0)	(112, 5907.0)	(117, 5961.0)	(122, 6244.0)	(127, 6151.0)	(132, 6289.0)	(137, 6249.0)	(142, 5912.0)	(147, 19459.0)	(151, 117721.0)
ERR6913309_2	(37, 191.0)	(42, 313.0)	(47, 604.0)	(52, 1083.0)	(57, 1583.0)	(62, 2218.0)	(67, 2829.0)	(72, 3500.0)	(77, 4035.0)	(82, 4493.0)	(87, 4940.0)	(92, 5164.0)	(97, 5508.0)	(102, 5652.0)	(107, 5863.0)	(112, 5903.0)	(117, 5961.0)	(122, 6242.0)	(127, 6153.0)	(132, 6272.0)	(137, 6239.0)	(142, 5884.0)	(147, 19679.0)	(151, 117567.0)
ERR6913323_1	(37, 390962.0)	(42, 17597.0)	(47, 12212.0)	(52, 10510.0)	(57, 10550.0)	(62, 13094.0)	(67, 16843.0)	(72, 21579.0)	(77, 26056.0)	(82, 32891.0)	(87, 37282.0)	(92, 43452.0)	(97, 46711.0)	(102, 50751.0)	(107, 49356.0)	(112, 50253.0)	(117, 47012.0)	(122, 45669.0)	(127, 42458.0)	(132, 41359.0)	(137, 38311.0)	(142, 36420.0)	(147, 81135.0)	(151, 370822.0)
ERR6913323_2	(37, 390990.0)	(42, 17602.0)	(47, 12215.0)	(52, 10513.0)	(57, 10552.0)	(62, 13095.0)	(67, 16851.0)	(72, 21584.0)	(77, 26060.0)	(82, 32912.0)	(87, 37287.0)	(92, 43452.0)	(97, 46710.0)	(102, 50761.0)	(107, 49355.0)	(112, 50267.0)	(117, 47030.0)	(122, 45667.0)	(127, 42482.0)	(132, 41385.0)	(137, 38335.0)	(142, 36439.0)	(147, 81520.0)	(151, 370221.0)
ERR6913338_1	(37, 981.0)	(42, 1030.0)	(47, 1907.0)	(52, 2922.0)	(57, 4581.0)	(62, 6112.0)	(67, 7803.0)	(72, 10081.0)	(77, 11692.0)	(82, 13596.0)	(87, 15281.0)	(92, 16897.0)	(97, 18154.0)	(102, 19810.0)	(107, 20249.0)	(112, 21058.0)	(117, 21103.0)	(122, 21292.0)	(127, 21351.0)	(132, 21471.0)	(137, 20932.0)	(142, 20248.0)	(147, 64996.0)	(151, 393627.0)
ERR6913338_2	(37, 981.0)	(42, 1032.0)	(47, 1910.0)	(52, 2926.0)	(57, 4586.0)	(62, 6115.0)	(67, 7808.0)	(72, 10081.0)	(77, 11696.0)	(82, 13600.0)	(87, 15288.0)	(92, 16896.0)	(97, 18158.0)	(102, 19821.0)	(107, 20251.0)	(112, 21074.0)	(117, 21114.0)	(122, 21310.0)	(127, 21364.0)	(132, 21532.0)	(137, 21057.0)	(142, 20393.0)	(147, 64719.0)	(151, 393462.0)
