Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR6913283_1	(1.0, 77.09963592490844)	(2.0, 18.540069071342703)	(3.0, 2.971829245246847)	(4.0, 0.44449572748188304)	(5.0, 0.08681687410189545)	(6.0, 0.0467615605119325)	(7.0, 0.03632491680796628)	(8.0, 0.02075709531883788)	(9.0, 0.015567821489128407)	('>10', 0.19373288964248683)	('>50', 0.25946369148547344)	('>100', 0.28454518166240256)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913283_2	(1.0, 77.16521691878036)	(2.0, 18.49506652093587)	(3.0, 2.919430644013057)	(4.0, 0.4586855524728555)	(5.0, 0.08250793855984868)	(6.0, 0.04158143746633539)	(7.0, 0.04845104887935261)	(8.0, 0.027686313645344345)	(9.0, 0.023360327138259293)	('>10', 0.18947820901032536)	('>50', 0.26042438772652027)	('>100', 0.2881107013718646)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913294_1	(1.0, 90.14671351652065)	(2.0, 8.84064985032413)	(3.0, 0.9104355110861995)	(4.0, 0.07865252257265076)	(5.0, 0.01699786208224768)	(6.0, 0.00381992172174728)	(7.0, 0.0013341570383913089)	(8.0, 0.0013966586539731092)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913294_2	(1.0, 90.17061534854048)	(2.0, 8.820689205468657)	(3.0, 0.910411238291859)	(4.0, 0.06939618810624597)	(5.0, 0.016996810396120145)	(6.0, 0.006366036900417276)	(7.0, 0.00266806248005255)	(8.0, 0.0013965057550544343)	(9.0, 0.0014606040611092222)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913309_1	(1.0, 83.60154696050384)	(2.0, 9.861761600421934)	(3.0, 1.9287843511936682)	(4.0, 0.775064765095316)	(5.0, 0.5178805527564645)	(6.0, 0.40355425831913166)	(7.0, 0.3338912735714361)	(8.0, 0.23608216668873938)	(9.0, 0.20289985015116024)	('>10', 1.679938399928798)	('>50', 0.19004871876574597)	('>100', 0.2685471026037715)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913309_2	(1.0, 83.74858468145118)	(2.0, 9.871866305120438)	(3.0, 1.9404036715466284)	(4.0, 0.8162432819388051)	(5.0, 0.5010271894311595)	(6.0, 0.3892969598480209)	(7.0, 0.31096899882389917)	(8.0, 0.22851966174952035)	(9.0, 0.20686500509447905)	('>10', 1.5684022039151744)	('>50', 0.1398855351587418)	('>100', 0.2779365059219592)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913323_1	(1.0, 56.31284896103475)	(2.0, 12.547396628352885)	(3.0, 2.5961842134483613)	(4.0, 0.7049091082193598)	(5.0, 0.29748196780789826)	(6.0, 0.21422609148353378)	(7.0, 0.1611781195519851)	(8.0, 0.13910018812022348)	(9.0, 0.12938056289136177)	('>10', 1.9976246487402654)	('>50', 0.7347383976388366)	('>100', 3.306157578309959)	('>500', 1.5243336910460985)	('>1k', 2.514802537364473)	('>5k', 1.1443702403639473)	('>10k+', 15.675267065626059)
ERR6913323_2	(1.0, 56.52919412950027)	(2.0, 12.36334295002106)	(3.0, 2.6204822109846666)	(4.0, 0.6924616620999983)	(5.0, 0.2948973140477013)	(6.0, 0.2040982795604756)	(7.0, 0.13126879457057009)	(8.0, 0.15623731724860795)	(9.0, 0.11990736401892138)	('>10', 2.0255452126820517)	('>50', 0.7294531332339422)	('>100', 3.2672783025046837)	('>500', 1.5139215581622523)	('>1k', 2.5159282099312295)	('>5k', 1.14382277699358)	('>10k+', 15.692160784440004)
ERR6913338_1	(1.0, 78.41249586974762)	(2.0, 9.299158938369628)	(3.0, 2.1460890017311898)	(4.0, 1.0586912877025092)	(5.0, 0.7853651919181821)	(6.0, 0.63711562675636)	(7.0, 0.5101642177619381)	(8.0, 0.4370005714435159)	(9.0, 0.42125257761243845)	('>10', 4.4383287787631)	('>50', 0.9594183245436134)	('>100', 0.7244984508144471)	('>500', 0.17042116283547815)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913338_2	(1.0, 78.76382283711894)	(2.0, 9.03029009362865)	(3.0, 2.0747174967879576)	(4.0, 1.0272150478379727)	(5.0, 0.7703103036237691)	(6.0, 0.6585772919126299)	(7.0, 0.5215930234952729)	(8.0, 0.4767774886174604)	(9.0, 0.3934003053809373)	('>10', 4.477320254990899)	('>50', 0.9243785052845467)	('>100', 0.7647825770242996)	('>500', 0.11681477429666474)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
